#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
25000,-55449.568115234375,16806.39453125,343.9708414958954,419
25500,-55829.469482421875,16974.728515625,347.4160767097994,419
26000,-55574.928466796875,17213.12890625,352.2953375663593,419
26500,-55319.75830078125,17638.0078125,360.99119167384936,419
27000,-55481.29345703125,17751.6484375,363.3170362407306,419
27500,-55482.75732421875,17449.146484375,357.12583019846596,419
28000,-55425.2841796875,17442.6796875,356.9934764352158,419
28500,-55811.95654296875,17383.4140625,355.78050676077885,419
29000,-55559.875244140625,17575.96484375,359.72137903615607,419
29500,-55687.453369140625,17556.1640625,359.31612308573943,419
30000,-55772.447265625,17170.90625,351.43118061862737,419
30500,-55852.695068359375,17351.548828125,355.1283316936011,419
31000,-55682.640869140625,17297.71875,354.0266095344541,419
31500,-55903.291015625,17245.78515625,352.96370208509734,419
32000,-55719.306396484375,16952.50390625,346.96121308188555,419
32500,-55886.26123046875,17331.033203125,354.7084452758485,419
33000,-55795.1318359375,17438.470703125,356.90733256333306,419
33500,-55885.105712890625,17140.771484375,350.81442247511006,419
34000,-55860.215087890625,17355.296875,355.20504171222905,419
34500,-55593.486083984375,17383.99609375,355.7924189992109,419
35000,-55450.3681640625,17281.146484375,353.68743053077634,419
35500,-55567.70703125,17593.7109375,360.0845823864703,419
36000,-55957.988525390625,17642.162109375,361.076216275007,419
36500,-56087.51220703125,17608.443359375,360.3861059250373,419
37000,-55973.0087890625,17503.771484375,358.2438217570823,419
37500,-55781.631103515625,17248.57421875,353.0207848920805,419
38000,-55762.159912109375,17829.14453125,364.90312280619037,419
38500,-55835.486328125,17461.4140625,357.37690660649184,418
39000,-56274.22021484375,17101.37109375,350.00802789158723,418
39500,-55995.197509765625,16943.58203125,346.77861205786667,418
40000,-56371.51318359375,17011.810546875,348.17502220936643,418
40500,-56880.217529296875,17122.07421875,350.431751808969,418
41000,-56455.280517578125,16802.1875,343.8847375979671,418
41500,-56677.112060546875,17337.296875,354.83664174783377,418
42000,-55770.44873046875,17170.2734375,351.4182290573791,418
42500,-55750.156494140625,17161.77734375,351.2443423554347,418
